handle,value_created_usd,distribution
j8binance,1477.25,initial
alonp99,1472.55,initial
rally-kevin,1472.50,initial
ethhealth,1470.19,initial
jhanlew,1467.49,initial
deamme,1464.85,initial
svenski123,1454.37,initial
midnightonmars,1447.92,initial
igorshadurin,1446.15,initial
djrosenbaum,1445.28,initial
empire-lfang,1443.85,initial
loiluu,1442.33,initial
philh,1433.99,initial
rezahsnz,1431.79,initial
rahulrumalla,1431.58,initial
timxor,1426.68,initial
thekidconnect,1425.82,initial
wolfcryptogroup,1425.00,initial
majortomsec,1420.33,initial
cubesmasher,1414.76,initial
pierrejh,1413.48,initial
ohopton,1405.44,initial
haael,1403.61,initial
adrianhacker-pdx,1401.90,initial
trustdompet,1401.10,initial
igastatus,1400.26,initial
shayzluf,1400.02,initial
christianbundy,1400.00,initial
glennawatson,1400.00,initial
jameshe42,1400.00,initial
jenil04,1400.00,initial
knocte,1399.09,initial
meknab,1398.89,initial
charlie4biz,1394.29,initial
raineorshine,1386.17,initial
lehnberg,1381.00,initial
lmahanand,1377.20,initial
mkosowsk,1375.00,initial
aerophile,1371.23,initial
arbab56,1371.21,initial
mekyle,1370.03,initial
krzyczak,1357.44,initial
brantlymillegan,1355.29,initial
bitcoinlouie,1355.02,initial
parrachia,1353.50,initial
subilink,1342.13,initial
thegreatgildo,1336.35,initial
ralexstokes,1335.00,initial
nanexcool,1332.22,initial
emmenualon,1331.47,initial
dandare77,1329.13,initial
liangliang09,1327.41,initial
kinchasa,1325.06,initial
defuera,1312.56,initial
pot8to,1311.43,initial
clesaege,1307.11,initial
curatedcube,1306.93,initial
adi99,1306.50,initial
atheistftwins,1302.49,initial
yudilevi,1301.98,initial
nezcich,1299.19,initial
irhonin,1295.14,initial
ajmachado,1291.18,initial
samajammin,1288.10,initial
illlefr4u,1287.55,initial
dvreed,1287.50,initial
apguerrera,1283.84,initial
tasdienes,1278.90,initial
willmeister,1275.66,initial
antodp,1274.04,initial
oogetyboogety,1271.23,initial
mikedeshazer,1267.51,initial
branciard,1267.09,initial
shenwilly,1265.73,initial
mirshko,1261.50,initial
kennethashley,1256.38,initial
nategeier,1254.40,initial
notadamking,1254.02,initial
lacroftrosy,1252.68,initial
le-dawg,1252.40,initial
loanbrew,1251.86,initial
cristiangpr,1249.58,initial
swader,1246.65,initial
facundomedica,1244.85,initial
benlls,1244.64,initial
bubble-spec,1243.08,initial
jay-dee7,1241.69,initial
hardlydifficult,1240.54,initial
resgar,1239.07,initial
e18r,1237.12,initial
hsingfan,1234.47,initial
3ach,1227.62,initial
dan13ram,1225.65,initial
ethgasstation,1224.00,initial
sheriff4,1224.00,initial
vsatyanaveen,1220.43,initial
burningtree,1218.49,initial
neurone,1213.45,initial
kayabanerve,1211.92,initial
abeseba,1208.73,initial
yashnaman,1206.53,initial
mccallofthewild,1200.36,initial
ayobuenavista,1200.00,initial
usman75,1199.50,initial
aj07,1198.64,initial
philiparthurmoore,1197.98,initial
rkalis,1197.02,initial
atvanguard,1194.56,initial
kirkballou,1194.37,initial
arizalex,1194.07,initial
litodertechie,1192.67,initial
ugolino,1186.18,initial
githubwei,1181.70,initial
inikokali,1178.34,initial
dmvt,1177.67,initial
tzannetosgiannis,1173.92,initial
anldrms,1168.71,initial
lucadgtrip,1166.48,initial
vothanhdopy,1163.01,initial
hbeckeri,1159.86,initial
sidko,1157.04,initial
federicosan,1155.26,initial
willsputra,1155.22,initial
gnidan,1154.16,initial
victoria-deluca,1152.75,initial
nicemarcela,1152.08,initial
lrettig,1151.34,initial
hskang9,1150.00,initial
lililashka,1145.61,initial
cocopeanutz,1132.66,initial
blockchainbear,1132.14,initial
adam-koza,1131.94,initial
kedmertens,1131.19,initial
shamardy,1130.34,initial
tehnlulz,1123.30,initial
azf20,1121.12,initial
popeline5,1119.40,initial
thedatadesigner,1119.40,initial
meyer9,1117.16,initial
rlholmes38,1116.06,initial
koushik-muthe,1110.81,initial
andersonmmi,1110.35,initial
giovannidisiena,1109.50,initial
danibelle,1109.18,initial
justpixel,1105.59,initial
scott-sanderson,1095.62,initial
ro5s,1092.95,initial
cyan-one,1092.78,initial
gungz,1091.37,initial
grahammcbain,1090.00,initial
spolrot,1086.24,initial
jabyl,1085.42,initial
suburbandad,1078.73,initial
kryptoklob,1078.25,initial
simona-pop,1075.94,initial
mikehibbert,1073.11,initial
maxstalker,1071.77,initial
streamrcommunityfund,1068.10,initial
willwarren89,1064.46,initial
bitstock,1063.01,initial
anonusergitcoin31-ywtilxkvncjlylupmxibajob8ygilw3r,1063.00,initial
raynemang,1059.79,initial
anonusergitcoin58-ggpn1otggf7qte64r1pbxdajvei3zim0,1059.78,initial
anonusergitcoin9-3fbnnrr2vwyxdrbn3uvgklelqxyo3yuf,1059.78,initial
masaun,1054.80,initial
donutjr,1053.72,initial
codynhat,1052.25,initial
wslyvh,1050.88,initial
kferretcrypto,1050.03,initial
andremarianiello,1050.00,initial
mgbtcfv,1050.00,initial
scott-l-e-w-i-s,1050.00,initial
derevlean,1049.14,initial
youssefs0102,1047.25,initial
roqass23,1045.69,initial
alexintosh,1038.93,initial
arun1595,1037.96,initial
yash-mathne,1034.88,initial
darkdarkdragon,1034.53,initial
serejandmyself,1032.94,initial
kayzou001,1032.71,initial
mareeng,1021.90,initial
aidanok,1021.25,initial
adamlevi,1013.78,initial
abender777,1012.59,initial
benkitneyw,1011.92,initial
swibb,1011.61,initial
iikirilov,1011.58,initial
ghallak,1011.06,initial
jeffersonn-1,1011.06,initial
gnsps,1010.64,initial
shamatar,1009.98,initial
dhodge229,1008.65,initial
flexthought,1005.85,initial
cbtahar,1003.51,initial
siriustsou,1003.21,initial
hlambur,1002.00,initial
thereturnofjan,1001.98,initial
hansenlin,1001.87,initial
bonifaty,1001.80,initial
choppu,1000.25,initial
luibo,1000.25,initial
zavodil,1000.21,initial
balasan,1000.01,initial
blocknerds,1000.00,initial
dpakman,1000.00,initial
ericglau,1000.00,initial
neospu,1000.00,initial
ookimaki,1000.00,initial
pyython,1000.00,initial
qx133,1000.00,initial
rafasaavedra,1000.00,initial
sidthekidder,1000.00,initial
sistemico,1000.00,initial
yfistore,1000.00,initial
zheei,1000.00,initial
therealyingtong,999.97,initial
owain777,999.54,initial
coopcode,998.48,initial
colmenalabssvq,998.31,initial
jesserweigel,997.82,initial
azwei-x,997.50,initial
bmann,996.99,initial
defisapiens,996.55,initial
matthewlilley,992.24,initial
ppunktw,989.85,initial
deeayeen,987.25,initial
elishatorus,984.60,initial
iquidus,984.31,initial
centrality-bounties,980.89,initial
blockchainadvisor,979.36,initial
bcscale,979.20,initial
