handle,user_id,total,active_user,kernel,GMV
judokick,92581,7364154299537000759296,181131000000000000000,337963299536999940096,6845060000000000393216
gitcointorch,66570,6938454000000000065536,137564000000000000000,0,6800890000000000458752
edmundedgar,137128,6739650000000000196608,10900000000000000000,0,6728750000000000327680
0xkiwi,8088,7256665499999999623168,564675500000000016384,0,6691990000000000065536
innoprenuer,5239,6819164699998999805952,133174700000000000000,0,6685989999999000248320
michaelis,90464,7052487999999000444928,392318000000000000000,0,6660169999998999592960
curadai,73112,6766978199998999560192,174938200000000000000,0,6592039999999000444928
nanspro,5433,7707429999999999541248,1126910000000000065536,0,6580519999999999737856
cloudydata,39168,6527929699999000035328,20529700000000000000,0,6507399999999000444928
abashd,125326,6515599999999999475712,11180000000000000000,0,6504420000000000393216
olivera1234,124991,6515599999999999475712,11180000000000000000,0,6504420000000000393216
blocknerds,4790,6535177699998999511040,50277700000000000000,0,6484899999999000051712
michaelcohen716,59533,7143277499999999492096,699757500000000016384,0,6443520000000000000000
dan-nolan,8752,6499135000000000425984,56035000000000000000,0,6443099999999999606784
jon-tompkins,72867,6527785099999000395776,99595100000000000000,0,6428189999999000510464
pelsasser,554,9731409999999000379392,3309539999999000051712,0,6421870000000000327680
typto,76583,7251946799999999803392,844106800000000065536,0,6407840000000000000000
sneg55,27653,7280757799997999677440,960267799998999953408,0,6320489999998999592960
aidanok,65442,6345040399998999592960,83430400000000000000,0,6261609999998999592960
anonusergitcoin26-f0gjajd4pk2m4r2yxrlvemzou0iquznp,86149,6235421699999000428544,13691700000000000000,0,6221729999998999855104
anonusergitcoin67-lk9ra3lohr7uevgi93aib7d1tcqxlqjm,86190,6235421699999000428544,13691700000000000000,0,6221729999998999855104
masaun,10842,6682585900000000081920,469045900000000016384,0,6213540000000000393216
aliatiia,85336,6982534599999999705088,778944600000000032768,0,6203589999999999541248
robsecord,72248,9609013274154666819584,2851219999999000051712,591433274156666585088,6166359999998999920640
rexshinka,16858,7146959299537000202240,642825999999999934464,337963299536999940096,6166170000000000458752
afriblockchain,62590,6152812399999000248320,18552400000000000000,0,6134259999998999527424
twwle,88228,6161293299999999787008,27383300000000000000,0,6133910000000000065536
penandlim,89796,6349590999999999639552,231061000000000000000,0,6118530000000000196608
stefanionescu,3311,6494024099998999773184,389164099999999983616,0,6104859999999000313856
musnit,69706,6152645300000000049152,78095300000000000000,0,6074550000000000065536
bruce-jun,78508,6036961299999000363008,62371300000000000000,0,5974589999999000510464
mvglasenapp,8810,5986520199998999625728,23300200000000000000,0,5963219999998999527424
chrischinchilla,41732,6481929299997999759360,521239299998999969792,0,5960689999999000379392
gabrielllemic,66366,6392220799999999475712,447600800000000000000,0,5944620000000000131072
marketsclear,72027,6507178799999000510464,567458800000000000000,0,5939719999999000444928
nicholasnicky,60132,6011430200000000294912,97580200000000000000,0,5913850000000000458752
mkosowsk,2019,7429319999999999737856,1516270000000000065536,0,5913050000000000458752
cseproton,91630,5971501499999999492096,76141500000000000000,0,5895360000000000000000
donkeykongey,125316,5917722599999999574016,22362600000000000000,0,5895360000000000000000
jvanoers,5082,5920498899999999918080,25138900000000000000,0,5895360000000000000000
kristofferjon,93079,5920740500000000180224,25380500000000000000,0,5895360000000000000000
linhan,91682,5921391299999999983616,26031300000000000000,0,5895360000000000000000
poison20-star,125235,5906540000000000131072,11180000000000000000,0,5895360000000000000000
stevel247,125297,5917722599999999574016,22362600000000000000,0,5895360000000000000000
villanuevawill,2765,6375332699999999885312,518372700000000016384,0,5856960000000000000000
schaeff,22380,5877496099999000297472,21056100000000000000,0,5856439999998999920640
pupunice,125280,5854484899998999773184,32984900000000000000,0,5821499999999000313856
yanivtal,7918,6681526699997999923200,860666699999000002560,0,5820859999999000313856
santisiri,63253,6002011799999999901696,202011800000000000000,0,5800000000000000000000
eswarasai,615,6943439999997999841280,1188849999999000117248,0,5754589999999000510464
octavioamu,-4906,6141256899998000349184,407296899998999969792,0,5733959999999000444928
moxarra,135526,5668203599999999672320,21803600000000000000,0,5646400000000000000000
