handle,token_proportion,tokens
maxsemenchuk,0.01%,46.83643406
srisankethu,0.01%,46.53334145
crystalpony,0.01%,46.43338178
calchulus,0.01%,46.31092695
netkeywork,0.01%,46.24191926
molecula451,0.01%,46.0090183
nbanmp,0.01%,45.98787624
georgi87,0.01%,45.71488993
jmiehau,0.01%,45.60579688
erinbeesley,0.01%,45.52190518
cosmictomato,0.01%,45.46727409
amxx,0.01%,45.38169102
powerdada,0.01%,45.08705524
yogijerry,0.01%,44.99132398
kichjang,0.01%,44.80781087
ddaavvee,0.01%,44.44991804
martintel,0.01%,44.44315258
niktrix,0.01%,44.42945252
tasdienes,0.01%,44.40678823
thehugeflood,0.01%,44.32475703
